Longitud;Latitud
-9,2307127;43,048017
-9,1208494;43,2003709
-8,9121092;43,2724061
-8,5825193;43,2963989
-8,3518064;43,4162209
-8,2089842;43,5278414
-8,0771482;43,6631033
-7,8244627;43,7742671
-7,6157225;43,7345894
-7,3850096;43,6948854
-7,231201;43,6313043
-7,0773924;43,607444
-6,8137205;43,5756156
-6,462158;43,5835743
-6,1655271;43,5915319
-5,8139646;43,6313043
-5,6821287;43,6233519
-5,4272458;43,5501407
-5,1855465;43,4864064
-4,899902;43,4146248
-4,4934079;43,3747094
-3,8056633;43,4481336
-3,5310051;43,4800294
-3,3442375;43,472057
-3,2233879;43,4082402
-2,9487297;43,3842916
-2,7729485;43,416221
-2,5751946;43,4002584
-2,3994133;43,3203823
-2,1906731;43,2644064
-1,9160149;43,3363659
-1,6083977;43,4242007
-1,4194327;43,3906788
-1,2436515;43,3107901
-1,0327138;43,2067776
-0,8129873;43,0865423
-0,5493154;42,9419479
-0,2636709;42,9017224
0,0131847;42,8211925
0,1274428;42,7954007
0,5163574;42,7712111
0,8239746;42,6501218
1,2634277;42,6582018
1,6765134;42,5822089
2,0500486;42,5741191
2,467529;42,4769592
2,9069822;42,3877632
3,170654;42,2821861
3,1267087;42,2496652
3,1596677;42,13571
3,2255857;42,0215493
3,1596677;41,8826496
2,7751462;41,6614223
2,3466794;41,4641356
2,1599118;41,3322765
1,7424314;41,1339866
1,5666501;41,1257115
1,2590329;41,0511883
0,9953611;41,0097501
0,8129883;40,8553705
0,7910156;40,688969
0,8349609;40,6306301
0,6262207;40,5555479
0,4833984;40,4051307
0,3186035;40,2040504
0,098877;40,0107871
-0,065918;39,842286
-0,2197266;39,6479973
-0,2856445;39,3852638
-0,2416992;39,1096036
-0,0878906;38,9047131
0,1208496;38,750656
0,1867676;38,6134366
0,0109863;38,5790906
-0,2263181;38,4570295
-0,4020993;38,3192483
-0,5778806;38,1552925
-0,6789549;37,9441967
-0,7338866;37,8141229
-0,7668456;37,6403341
-0,9426268;37,5271528
-1,1403807;37,5619962
-1,3183594;37,5097258
-1,439209;37,4138004
-1,6918945;37,2478212
-1,8676758;37,0376397
-2,043457;36,8004882
-2,2192383;36,6772306
-2,3950195;36,8180802
-2,5927734;36,8180802
-2,6916504;36,7036596
-2,911377;36,7036596
-3,1201172;36,7388841
-3,2849121;36,7300795
-3,4057617;36,6860413
-3,6804199;36,7212739
-3,9001465;36,7388841
-4,152832;36,7036596
-4,3945313;36,6948509
-4,5263672;36,5802466
-4,7460938;36,4919735
-4,9987793;36,4477991
-5,2075195;36,3151251
-5,3833008;36,0224467
-5,6469727;35,9691151
-5,8381349;36,0437692
-6,0358888;36,1769042
-6,178711;36,3629138
-6,2885743;36,5573052
-6,3544923;36,7071827
-6,4313966;36,8391853
-6,8598634;37,1463063
-7,0576173;37,2338272
-7,2993165;37,1813269
-7,5300294;37,1112696
-7,7827149;37,0236068
-7,8728029;36,9358427
-8,0815431;37,0236068
-8,3671877;37,0849814
-8,6088869;37,0762166
-8,8176271;37,0236068
-8,949463;36,9972882
-8,8066408;37,7394444
-8,8286134;37,8869933
-8,7846681;38,0947951
-8,7846681;38,3364858
-8,9165041;38,5344165
-9,0043947;38,5344165
-9,0922853;38,4226093
-9,2131349;38,5000327
-9,2460939;38,6031347
-9,4438478;38,7575102
-9,4020999;39,0038177
-9,3471683;39,2679854
-9,2812503;39,4463742
-9,0834964;39,6243072
-8,9187015;39,8439729
-8,9516604;40,0965628
-8,7758792;40,2979622
-8,6770022;40,6739723
-8,6660159;41,1058464
-8,8066408;41,543122
-8,8286134;41,7483649
-8,7846681;42,0590813
-8,6857912;42,2220087
-8,7846681;42,3845167
-8,9165041;42,5061224
-8,9934084;42,6436568
-9,0593263;42,7970127
-9,1691896;42,9339045
-9,2680666;43,0544392